skill,freq
sql,4007
тестирование,3386
функциональное тестирование,3008
atlassian jira,2693
java,2167
git,1786
qa,1610
тестирование пользовательского интерфейса,1540
python,1469
linux,1438
test case,1426
английский язык,997
проведение тестирований,877
регресионное тестирование,783
xml,720
ms sql,681
html,668
api,529
atlassian confluence,526
scrum,524
android,516
javascript,486
регресcионное тестирование,469
rest,437
нагрузочное тестирование,432
selenium ide,388
ios,383
c#,353
css,338
soap,337
selenium,335
работа в команде,301
junit,294
postgresql,283
agile project management,271
jenkins,248
ооп,232
mysql,230
postman,199
redmine,188
php,176
oracle,160
unix,159
svn,152
http,151
разработка технических заданий,150
bash,137
docker,133
автоматизация,131
c++,130
oracle pl/sql,128
аналитическое мышление,125
unit testing,120
ms visual studio,114
tcp/ip,107
ручное тестирование,106
apache maven,105
базы данных,101
ms visio,100
автоматизация тестирования,98
модульное тестирование,94
обучение и развитие,93
teamcity,91
управление проектами,91
информационные технологии,88
пользователь пк,88
управление командой,83
appium,83
tfs,81
ms sql server,80
информационная безопасность,79
jmeter,75
ruby,75
json api,74
контроль качества,73
ui,73
ручное тестирование,72
rest api,71
субд,71
spring framework,71
crm,70
грамотность,69
ci/cd,68
cucumber,67
автоматизированное тестирование,66
тестирование мобильных приложений,66
uml,65
java se,65
jmeter,64
testng,64
постановка задач разработчикам,63
agile,63
testrail,62
регрессионное тестирование,62
mac os,61
node.js,61
windows 7,60
мобильность,60
тестовая документация,59
selenide,59
mongodb,58
html5,57
bug reporting,56
jira,56
json,54
автоматизация тестирования,54
ориентация на результат,53
black box testing,53
qa automation,53
грамотная речь,52
интеграционное тестирование,52
kotlin,52
windows os,51
работа с базами данных,48
бизнес-анализ,48
разработка по,48
intellij idea,47
.net framework,47
pytest,46
kubernetes,46
unity,46
bug tracking systems,46
soapui,46
автотесты,46
автоматизированное тестирование,45
c/c++,44
testrail,44
allure,43
с#,43
api-тестирование,42
sony vegas,42
автотестирование,41
система контроля версий,41
android sdk,40
project management,40
ms access,40
testing framework,40
тестирование десктопных приложений,40
анализ требований,40
техническая документация,39
процесс разработки проекта,39
виды тестирования,39
уровни тестирования,39
клиент-серверная архитектура,39
тестирование web-приложений,36
loadrunner,36
руководство коллективом,36
jdbc,36
selenium,36
usability тестирование,36
charles,35
redis,35
selenium webdriver,34
автотестирование,33
testing,33
управление временем,33
ведение документации,32
тестирование по,32
typescript,32
тест дизайн,32
ms excel,31
системное мышление,31
работа с большим объемом информации,31
организаторские навыки,31
ms powerpoint,31
postman,30
vmware,30
erp,30
usability,30
rest api,30
системный анализ,30
team management,29
xcode,29
fiddler,29
scala,29
cистемы управления базами данных,28
functional testing,28
аналитические исследования,28
beta-тестирования,28
leadership skills,28
teamleading,28
maven,27
sap,27
интеграционное тестирование,27
1с программирование,27
ms project,27
gradle,26
automation,26
ms office,26
тестирование безопасности,26
groovy,25
креативность,25
gitlab,25
ansible,25
jmeter,25
