skill,freq
sql,6027
бизнес-анализ,3821
uml,2608
разработка технических заданий,2537
ms sql,2473
ms visio,2172
bpmn,2129
системный анализ,2055
английский язык,1651
аналитическое мышление,1587
python,1579
ms powerpoint,1559
управление проектами,1497
atlassian jira,1443
аналитические исследования,1233
анализ данных,1145
ms excel,1028
постановка задач разработчикам,1014
xml,1008
моделирование бизнес процессов,935
работа в команде,926
ms access,901
ms project,826
оптимизация бизнес-процессов,745
agile project management,689
аналитика,689
atlassian confluence,634
базы данных,626
статистический анализ,597
работа с базами данных,589
1с: предприятие 8,576
scrum,571
crm,544
работа с большим объемом информации,544
soap,542
rest,517
google analytics,495
подготовка презентаций,469
информационные технологии,448
грамотная речь,447
системное мышление,442
oracle pl/sql,420
vba,407
ms sql server,392
,364
java,358
idef,335
прогнозирование,334
,325
data mining,323
проектная документация,321
математическая статистика,316
1с: зарплата и управление персоналом,315
яндекс.метрика,300
ms outlook,292
системная интеграция,291
маркетинговый анализ,285
html,284
1с: управление торговлей,280
postgresql,276
1с программирование,272
ведение переговоров,262
business analysis,260
data analysis,259
1с: бухгалтерия,257
aris,257
oracle,255
разработка проектной документации,245
power bi,239
проведение презентаций,232
деловая переписка,226
управленческая отчетность,226
linux,225
erp-системы на базе 1с,224
cистемы управления базами данных,223
json api,217
деловая коммуникация,213
idef0,210
1с: документооборот,210
git,210
субд,210
project management,208
ms office,208
информационная безопасность,207
аналитический склад ума,206
тестирование,199
проектирование пользовательских интерфейсов,194
1с: управление производственным предприятием,192
грамотность,192
javascript,191
ориентация на результат,191
разработка инструкций,189
математический анализ,185
analytical skills,182
бухгалтерский учет,180
сбор и анализ информации,175
api,175
tableau,168
веб-аналитика,166
c++,165
big data,165
1c: бухгалтерия,164
анализ бизнес показателей,163
ооп,157
анализ рынка,155
web аналитика,153
организаторские навыки,150
etl,149
dwh,148
бизнес-моделирование,147
css,141
маркетинговые исследования,134
системный подход,134
креативность,131
mysql,131
olap (online analytical processing),131
деловое общение,131
функциональное тестирование,130
разработка по,130
erp,127
техническая документация,126
финансовая отчетность,125
sap,125
управление разработкой,124
e-commerce,123
1с-битрикс,122
база данных: oracle,122
ux,121
реинжиниринг бизнес-процессов,120
навыки презентации,119
моделирование процессов,118
1с: комплексная автоматизация,118
математическое моделирование,116
c#,115
1с: торговля,114
планирование,114
аналитика продаж,110
электронный документооборот,108
ms visual studio,107
a/b тесты,106
xsd,105
финансовый анализ,103
экономический анализ,97
1с: управление предприятием,95
проведение тестирований,94
интернет-реклама,94
transact-sql,91
клиентоориентированность,90
гост,88
консультирование,87
business intelligence systems,86
управленческий учет,86
многозадачность,85
бизнес-планирование,85
r,84
бюджетирование,84
1с: предприятие,84
аналитические способности,83
sap erp,83
автоматизация,83
управление командой,83
разработка регламентов,83
умение работать в команде,82
статистика,81
epc,81
разработка нового продукта,81
управление временем,79
json,79
ui,77
spss,76
erp systems,75
1с: производство,74
bi,74
product management,73
1с,73
поиск информации в интернет,72
ведение отчетности,72
terrasoft crm,72
internet marketing,71
ms dynamics crm,70
google adwords,70
складская логистика,70
business english,69
обучение персонала,69
тестирование пользовательского интерфейса,68
управление рисками,67
itil,66
прототипирование,65
google docs,64
развитие продаж,64
swot анализ,64
работа с системами аналитики,63
